STN;YYYYMMDD;DDVEC;FHVEC;FG;FHX;FHXH;FHN;FHNH;FXX;FXXH;TG;TN;TNH;TX;TXH;T10N;T10NH;SQ;SP;Q;DR;RH;RHX;RHXH;PG;PX;PXH;PN;PNH;VVN;VVNH;VVX;VVXH;NG;UG;UX;UXH;UN;UNH;EV24
210;20150101;201;66;67;100;20;40;1;160;20;40;20;6;57;24;10;6;12;15;172;8;1;1;24;10292;10339;4;10204;24;37;1;75;18;5;82;88;5;74;18;2
210;20150102;265;92;103;140;5;80;24;200;3;78;51;1;104;7;48;6;43;55;310;24;25;8;7;10257;10314;21;10183;5;56;4;74;10;5;74;95;5;62;17;4
210;20150103;260;38;53;90;8;20;14;160;8;53;30;16;68;1;28;18;0;0;74;39;34;13;10;10231;10303;1;10174;14;38;17;80;23;7;83;97;17;66;24;1
210;20150104;290;34;44;60;1;30;15;120;5;44;-3;20;78;12;-27;24;45;57;306;4;5;4;7;10333;10356;20;10275;1;56;7;79;1;2;82;96;20;67;1;4
210;20150105;196;35;38;60;4;20;24;100;4;34;5;1;54;4;-9;6;8;10;127;0;0;0;1;10303;10347;1;10258;24;37;10;70;3;7;91;97;1;85;4;2
210;20150106;199;26;42;70;22;20;7;100;21;34;6;10;73;21;3;12;19;24;231;23;10;5;18;10217;10252;1;10195;17;31;17;70;21;8;90;98;20;83;22;3
210;20150107;205;52;57;100;23;20;5;150;23;46;5;6;76;13;-18;6;52;65;330;21;21;11;23;10247;10269;9;10209;24;36;23;75;11;5;87;97;8;76;13;4
210;20150108;233;68;75;100;6;50;15;160;4;73;45;1;92;9;42;6;0;0;41;61;112;33;13;10200;10248;21;10163;13;56;11;70;16;6;91;96;13;86;24;1
210;20150109;232;121;123;160;23;70;1;250;22;93;61;3;116;22;57;6;0;0;114;35;59;30;17;10150;10239;1;10103;21;25;18;70;8;8;90;96;19;79;16;2
210;20150110;250;122;136;180;10;70;14;280;11;90;56;24;116;9;47;24;5;6;116;14;26;22;13;10107;10152;21;10053;12;39;12;74;21;6;78;94;1;59;21;2
210;20150111;269;114;118;130;5;100;16;200;9;65;52;2;80;22;44;6;21;26;263;0;-1;-1;17;10170;10198;17;10129;4;62;15;70;1;6;73;81;22;67;3;3
210;20150112;223;114;116;150;14;80;24;240;14;90;75;2;104;17;69;6;0;0;138;51;45;11;24;10110;10170;1;10063;24;26;22;75;15;8;85;95;22;77;1;2
210;20150113;221;78;81;110;4;40;14;170;2;82;53;24;101;2;50;24;3;4;97;147;179;30;13;10027;10052;1;10013;12;34;5;75;18;7;89;96;13;77;21;1
210;20150114;220;69;80;110;13;50;19;180;12;48;32;10;64;3;29;24;32;39;272;23;43;22;1;10059;10099;18;10027;24;63;12;75;3;6;79;91;1;72;15;3
210;20150115;208;101;106;140;9;70;15;250;9;80;56;1;105;9;51;6;0;0;76;90;81;14;3;9944;10010;1;9918;14;48;10;80;23;7;81;91;2;67;21;1
210;20150116;221;50;58;100;1;20;19;170;1;58;43;8;79;13;35;24;38;46;397;25;22;12;18;10039;10096;24;9982;1;61;17;75;11;4;80;94;19;65;2;5
210;20150117;224;47;55;80;19;40;2;140;18;40;21;5;61;13;9;6;41;49;369;2;1;1;21;10126;10142;11;10103;1;70;5;83;15;4;76;87;21;63;15;5
210;20150118;194;26;29;50;1;0;19;100;1;26;17;22;35;12;14;24;0;0;96;122;52;7;14;10116;10128;23;10106;14;36;22;70;4;7;93;98;20;84;4;1
210;20150119;162;8;12;30;20;0;4;50;20;3;-21;10;22;1;-26;12;24;29;296;0;0;0;1;10123;10131;10;10116;15;0;18;59;1;8;99;100;6;92;2;3
210;20150120;163;20;21;50;18;0;1;70;18;15;2;1;33;13;3;24;23;27;260;0;0;0;1;10122;10130;10;10116;3;2;1;59;9;6;93;100;1;84;14;3
210;20150121;104;32;35;50;11;20;1;80;11;0;-18;23;11;1;-26;24;5;6;262;0;0;0;1;10125;10154;24;10110;3;33;1;63;9;6;82;96;1;73;15;3
210;20150122;60;34;35;50;3;20;18;80;3;-10;-25;24;2;17;-42;24;0;0;137;0;-1;-1;11;10202;10248;24;10155;1;38;4;59;12;6;84;90;4;77;15;1
210;20150123;166;23;30;70;23;0;5;140;24;-23;-51;6;6;11;-65;12;36;42;432;0;0;0;1;10254;10270;8;10209;24;2;12;59;10;4;93;99;21;81;10;4
210;20150124;294;34;63;90;1;40;7;140;2;40;-3;1;66;12;-3;6;50;58;435;41;63;31;4;10215;10281;24;10159;6;29;3;74;10;5;82;96;5;72;12;5
210;20150125;248;34;38;50;12;20;10;80;22;58;41;3;70;14;27;6;2;2;213;0;-1;-1;8;10277;10297;8;10242;24;59;7;69;19;7;88;93;7;84;1;3
210;20150126;282;56;70;80;8;50;1;120;14;68;52;24;81;13;43;24;8;9;167;32;12;4;12;10202;10234;1;10177;14;23;10;75;14;6;88;98;10;75;14;2
210;20150127;286;40;47;60;3;30;18;100;3;58;21;19;77;13;12;24;38;43;414;6;1;1;22;10227;10241;11;10188;24;50;21;70;24;6;87;97;18;80;1;5
210;20150128;243;81;96;130;19;50;1;210;15;57;22;15;80;15;21;18;0;0;61;34;81;29;15;10025;10177;1;9944;14;29;14;77;17;7;80;93;9;64;19;1
210;20150129;257;76;84;130;5;20;21;190;5;35;7;21;55;12;5;24;8;9;194;58;60;21;20;9816;9937;1;9721;21;27;20;75;7;7;79;96;20;67;1;2
210;20150130;264;39;45;80;19;10;4;120;19;29;-3;4;51;13;-3;6;30;34;405;40;23;6;18;9760;9771;10;9731;1;58;2;80;11;6;84;97;3;68;12;5
210;20150131;247;26;31;50;1;10;16;90;9;29;1;21;55;12;-8;24;28;31;425;8;14;7;16;9814;9854;23;9773;1;28;23;75;1;6;86;97;20;73;12;5
215;20150101;207;73;74;110;23;40;4;180;23;38;18;3;53;23;9;6;14;18;187;13;3;2;24;10294;10339;4;10206;24;42;1;73;18;5;81;88;5;75;17;2
215;20150102;266;83;94;120;4;70;24;200;4;78;50;1;109;7;47;6;45;58;319;22;21;7;7;10258;10315;21;10187;5;57;2;72;10;5;73;93;5;61;11;4
215;20150103;255;34;46;70;1;10;17;130;8;52;30;16;70;6;27;18;0;0;72;35;29;13;10;10231;10305;1;10174;15;33;17;80;23;7;82;96;18;65;24;1
215;20150104;288;31;39;50;1;20;19;140;6;41;-21;22;78;13;-38;24;41;52;302;2;3;2;8;10333;10356;20;10275;1;56;24;75;1;2;81;95;20;67;1;4
215;20150105;197;36;37;50;10;20;23;80;10;33;6;1;44;20;-5;6;2;3;117;0;0;0;1;10303;10347;1;10259;24;31;11;64;3;7;91;96;1;87;22;1
215;20150106;206;27;40;60;19;20;7;100;22;34;7;9;75;22;1;12;12;15;230;21;10;4;20;10217;10252;1;10195;17;19;18;70;21;8;89;97;20;81;22;3
215;20150107;210;53;56;90;22;20;5;140;23;44;-2;6;75;13;-19;6;46;58;303;25;26;14;23;10248;10269;9;10211;24;24;23;75;11;5;87;96;6;76;13;4
215;20150108;233;64;70;90;1;50;12;160;5;73;45;1;88;9;42;6;0;0;36;67;124;33;13;10201;10249;21;10160;13;56;1;70;16;6;90;95;11;85;21;0
215;20150109;236;106;108;140;23;60;1;250;23;98;62;3;128;23;57;6;0;0;111;41;71;35;17;10153;10240;1;10106;22;25;18;68;8;8;87;95;18;67;16;2
215;20150110;254;106;116;150;11;70;14;260;10;93;56;23;124;2;46;24;5;6;117;13;23;20;13;10109;10153;21;10058;12;47;12;72;21;6;77;92;13;58;18;2
215;20150111;269;103;106;120;6;90;16;200;6;66;52;3;84;22;43;6;15;19;253;0;-1;-1;17;10172;10200;17;10133;4;62;15;69;4;7;71;76;23;66;1;3
215;20150112;226;104;105;140;13;80;24;230;11;91;80;1;105;16;73;6;0;0;127;64;72;18;24;10112;10172;1;10064;24;28;24;75;16;8;84;96;24;73;1;2
215;20150113;225;74;76;110;3;40;14;180;4;82;52;24;101;8;50;24;3;4;94;150;208;25;1;10027;10054;1;10009;12;32;3;75;18;7;88;95;4;74;19;1
215;20150114;221;63;72;90;5;50;2;170;5;48;30;9;64;3;22;18;22;27;246;22;37;18;1;10061;10101;18;10027;24;40;9;80;4;6;79;90;9;65;4;3
